Fiscal Year,Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,HAI-1 Achievement Threshold,HAI-1 Benchmark,HAI-1 Baseline Rate,HAI-1 Performance Rate,HAI-1 Achievement Points,HAI-1 Improvement Points,HAI-1 Measure Score,HAI-2 Achievement Threshold,HAI-2 Benchmark,HAI-2 Baseline Rate,HAI-2 Performance Rate,HAI-2 Achievement Points,HAI-2 Improvement Points,HAI-2 Measure Score,Combined SSI Measure Score,HAI-3 Achievement Threshold,HAI-3 Benchmark,HAI-3 Baseline Rate,HAI-3 Performance Rate,HAI-3 Achievement Points,HAI-3 Improvement Points,HAI-3 Measure Score,HAI-4 Achievement Threshold,HAI-4 Benchmark,HAI-4 Baseline Rate,HAI-4 Performance Rate,HAI-4 Achievement Points,HAI-4 Improvement Points,HAI-4 Measure Score,HAI-5 Achievement Threshold,HAI-5 Benchmark,HAI-5 Baseline Rate,HAI-5 Performance Rate,HAI-5 Achievement Points,HAI-5 Improvement Points,HAI-5 Measure Score,HAI-6 Achievement Threshold,HAI-6 Benchmark,HAI-6 Baseline Rate,HAI-6 Performance Rate,HAI-6 Achievement Points,HAI-6 Improvement Points,HAI-6 Measure Score
2024,130018,EASTERN IDAHO REGIONAL MEDICAL CENTER,3100 CHANNING WAY,IDAHO FALLS,ID,83404,BONNEVILLE,0.589,0,0.501,1.560,0 out of 10,0 out of 9,0 out of 10,0.65,0,1.408,0.698,0 out of 10,5 out of 9,5 out of 10,0 out of 10,0.717,0,0.000,1.783,0 out of 10,0 out of 9,0 out of 10,0.738,0,2.646,Not Available,Not Available,Not Available,Not Available,0.726,0,0.000,0.315,6 out of 10,0 out of 9,6 out of 10,0.52,0.014,1.116,0.299,4 out of 10,7 out of 9,7 out of 10
2024,130025,MADISON MEMORIAL HOSPITAL,450 EAST MAIN STREET,REXBURG,ID,83440,MADISON,0.589,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.65,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,0.266,0.299,4 out of 10,0 out of 9,4 out of 10
2024,130028,PORTNEUF MEDICAL CENTER,777 HOSPITAL WAY,POCATELLO,ID,83201,BANNOCK,0.589,0,0.236,0.000,10 out of 10,9 out of 9,10 out of 10,0.65,0,0.662,0.359,5 out of 10,4 out of 9,5 out of 10,5 out of 10,0.717,0,0.786,0.361,5 out of 10,5 out of 9,5 out of 10,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,0.629,0.000,10 out of 10,9 out of 9,10 out of 10,0.52,0.014,0.685,0.447,2 out of 10,3 out of 9,3 out of 10
2024,130065,MOUNTAIN VIEW HOSPITAL,2325 CORONADO STREET,IDAHO FALLS,ID,83404,BONNEVILLE,0.589,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.65,0,Not Available,Not Available,Not Available,Not Available,Not Available,0 out of 10,0.717,0,Not Available,2.120,0 out of 10,Not Available,0 out of 10,0.738,0,Not Available,1.817,0 out of 10,Not Available,0 out of 10,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,Not Available,0.000,10 out of 10,Not Available,10 out of 10
2024,130071,ST LUKE'S NAMPA MEDICAL CENTER,9850 WEST ST LUKES DRIVE,NAMPA,ID,83687,CANYON,0.589,0,Not Available,0.000,10 out of 10,Not Available,10 out of 10,0.65,0,Not Available,0.678,0 out of 10,Not Available,0 out of 10,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,0.000,10 out of 10,Not Available,10 out of 10,0.52,0.014,0.752,0.544,0 out of 10,2 out of 9,2 out of 10
2024,130074,IDAHO FALLS COMMUNITY HOSPITAL  LLC,2327 CORONADO ST,IDAHO FALLS,ID,83404,BONNEVILLE,0.589,0,Not Available,3.807,0 out of 10,Not Available,0 out of 10,0.65,0,Not Available,4.543,0 out of 10,Not Available,0 out of 10,0 out of 10,0.717,0,Not Available,1.808,0 out of 10,Not Available,0 out of 10,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,Not Available,0.496,1 out of 10,Not Available,1 out of 10
2024,140001,GRAHAM HOSPITAL ASSOCIATION,210 WEST WALNUT STREET,CANTON,IL,61520,FULTON,0.589,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.65,0,Not Available,2.304,0 out of 10,Not Available,0 out of 10,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,0.700,0.349,4 out of 10,5 out of 9,5 out of 10
2024,140002,ALTON MEMORIAL HOSPITAL,ONE MEMORIAL DRIVE,ALTON,IL,62002,MADISON,0.589,0,0.000,0.903,0 out of 10,0 out of 9,0 out of 10,0.65,0,0.386,0.000,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0.717,0,0.825,0.000,10 out of 10,9 out of 9,10 out of 10,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,0.713,0.547,3 out of 10,2 out of 9,3 out of 10,0.52,0.014,0.728,1.038,0 out of 10,0 out of 9,0 out of 10
2024,140007,PRESENCE SAINT JOSEPH MEDICAL CENTER,333 N MADISON ST,JOLIET,IL,60435,WILL,0.589,0,0.550,0.876,0 out of 10,0 out of 9,0 out of 10,0.65,0,1.866,1.510,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0.717,0,1.038,1.514,0 out of 10,0 out of 9,0 out of 10,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,0.256,0.469,4 out of 10,0 out of 9,4 out of 10,0.52,0.014,0.215,0.235,6 out of 10,0 out of 9,6 out of 10
2024,140008,LOYOLA GOTTLIEB MEMORIAL HOSPITAL,701 WEST NORTH AVE,MELROSE PARK,IL,60160,COOK,0.589,0,0.682,2.082,0 out of 10,0 out of 9,0 out of 10,0.65,0,0.223,0.383,4 out of 10,0 out of 9,4 out of 10,Not Available,0.717,0,0.537,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,0.736,1.719,0 out of 10,0 out of 9,0 out of 10,0.52,0.014,0.202,0.521,0 out of 10,0 out of 9,0 out of 10
2024,140011,HERRIN HOSPITAL,201 S 14TH ST,HERRIN,IL,62948,WILLIAMSON,0.589,0,0.381,0.754,0 out of 10,0 out of 9,0 out of 10,0.65,0,0.483,0.842,0 out of 10,0 out of 9,0 out of 10,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,4.638,1.198,0 out of 10,7 out of 9,7 out of 10,0.52,0.014,1.491,1.036,0 out of 10,3 out of 9,3 out of 10
2024,140012,KATHERINE SHAW BETHEA HOSPITAL,403 E 1ST ST,DIXON,IL,61021,LEE,0.589,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.65,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.717,0,2.671,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,0.688,0.395,3 out of 10,4 out of 9,4 out of 10
2024,140013,PROCTOR HOSPITAL,5409 N KNOXVILLE AVE,PEORIA,IL,61614,PEORIA,0.589,0,0.000,0.942,0 out of 10,0 out of 9,0 out of 10,0.65,0,0.000,0.633,1 out of 10,0 out of 9,1 out of 10,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,0.406,1.345,0 out of 10,0 out of 9,0 out of 10
2024,140015,BLESSING HOSPITAL,1005 BROADWAY ST,QUINCY,IL,62301,ADAMS,0.589,0,0.928,1.313,0 out of 10,0 out of 9,0 out of 10,0.65,0,0.508,0.683,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0.717,0,0.612,1.535,0 out of 10,0 out of 9,0 out of 10,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,0.627,1.375,0 out of 10,0 out of 9,0 out of 10,0.52,0.014,0.690,0.450,2 out of 10,3 out of 9,3 out of 10
2024,140018,MT SINAI HOSPITAL MEDICAL CENTER,1500 S FAIRFIELD AVE,CHICAGO,IL,60608,COOK,0.589,0,1.119,0.295,5 out of 10,7 out of 9,7 out of 10,0.65,0,1.072,2.024,0 out of 10,0 out of 9,0 out of 10,6 out of 10,0.717,0,0.656,0.263,6 out of 10,5 out of 9,6 out of 10,0.738,0,1.764,Not Available,Not Available,Not Available,Not Available,0.726,0,0.616,0.234,7 out of 10,6 out of 9,7 out of 10,0.52,0.014,0.730,0.912,0 out of 10,0 out of 9,0 out of 10
2024,140029,COPLEY MEMORIAL HOSPITAL,2000 OGDEN AVENUE,AURORA,IL,60504,DUPAGE,0.589,0,0.499,0.428,3 out of 10,1 out of 9,3 out of 10,0.65,0,0.209,0.347,5 out of 10,0 out of 9,5 out of 10,1 out of 10,0.717,0,0.284,1.306,0 out of 10,0 out of 9,0 out of 10,0.738,0,1.095,0.762,0 out of 10,3 out of 9,3 out of 10,0.726,0,0.412,0.774,0 out of 10,0 out of 9,0 out of 10,0.52,0.014,0.767,0.616,0 out of 10,2 out of 9,2 out of 10
2024,140030,ADVOCATE SHERMAN HOSPITAL,1425 NORTH RANDALL ROAD,ELGIN,IL,60123,KANE,0.589,0,0.501,0.506,2 out of 10,0 out of 9,2 out of 10,0.65,0,0.203,0.636,1 out of 10,0 out of 9,1 out of 10,1 out of 10,0.717,0,0.360,1.040,0 out of 10,0 out of 9,0 out of 10,0.738,0,0.972,0.751,0 out of 10,2 out of 9,2 out of 10,0.726,0,0.000,0.370,5 out of 10,0 out of 9,5 out of 10,0.52,0.014,0.601,0.359,3 out of 10,4 out of 9,4 out of 10
2024,140032,ST ANTHONYS MEMORIAL HOSPITAL,503 N MAPLE STREET,EFFINGHAM,IL,62401,EFFINGHAM,0.589,0,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,0.65,0,0.000,1.192,0 out of 10,0 out of 9,0 out of 10,Not Available,0.717,0,0.000,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,0.675,0.000,10 out of 10,9 out of 9,10 out of 10
2024,140034,SSM HEALTH ST MARY'S HOSPITAL -CENTRALIA,400 NORTH PLEASANT AVENUE,CENTRALIA,IL,62801,MARION,0.589,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.65,0,0.806,Not Available,Not Available,Not Available,Not Available,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,0.254,0.000,10 out of 10,9 out of 9,10 out of 10
2024,140043,CGH MEDICAL CENTER,100 EAST LEFEVRE ROAD,STERLING,IL,61081,WHITESIDE,0.589,0,0.000,0.687,0 out of 10,0 out of 9,0 out of 10,0.65,0,0.506,1.279,0 out of 10,0 out of 9,0 out of 10,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,0.909,0.991,0 out of 10,0 out of 9,0 out of 10
2024,140046,GOOD SAMARITAN REGIONAL HLTH CENTER,1 GOOD SAMARITAN WAY,MOUNT VERNON,IL,62864,JEFFERSON,0.589,0,0.384,1.072,0 out of 10,0 out of 9,0 out of 10,0.65,0,0.317,1.674,0 out of 10,0 out of 9,0 out of 10,10 out of 10,0.717,0,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,0.738,0,0.874,Not Available,Not Available,Not Available,Not Available,0.726,0,0.000,2.549,0 out of 10,0 out of 9,0 out of 10,0.52,0.014,0.292,0.582,0 out of 10,0 out of 9,0 out of 10
2024,140048,ADVOCATE TRINITY HOSPITAL,2320 E 93RD ST,CHICAGO,IL,60617,COOK,0.589,0,0.749,0.258,6 out of 10,6 out of 9,6 out of 10,0.65,0,0.710,0.814,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0.717,0,0.926,1.725,0 out of 10,0 out of 9,0 out of 10,0.738,0,Not Available,1.720,0 out of 10,Not Available,0 out of 10,0.726,0,0.000,0.405,4 out of 10,0 out of 9,4 out of 10,0.52,0.014,0.671,0.567,0 out of 10,1 out of 9,1 out of 10
2024,140052,OSF SAINT ANTHONY'S HEALTH CENTER,ST ANTHONY'S WAY,ALTON,IL,62002,MADISON,0.589,0,0.783,2.372,0 out of 10,0 out of 9,0 out of 10,0.65,0,0.742,Not Available,Not Available,Not Available,Not Available,0 out of 10,0.717,0,Not Available,1.765,0 out of 10,Not Available,0 out of 10,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,0.697,0.846,0 out of 10,0 out of 9,0 out of 10
2024,140053,ST JOHNS HOSPITAL,800 E CARPENTER ST,SPRINGFIELD,IL,62769,SANGAMON,0.589,0,0.212,0.570,1 out of 10,0 out of 9,1 out of 10,0.65,0,0.410,0.301,5 out of 10,2 out of 9,5 out of 10,6 out of 10,0.717,0,0.913,0.299,6 out of 10,6 out of 9,6 out of 10,0.738,0,2.079,0.846,0 out of 10,5 out of 9,5 out of 10,0.726,0,0.481,0.425,4 out of 10,1 out of 9,4 out of 10,0.52,0.014,0.408,0.410,2 out of 10,0 out of 9,2 out of 10
2024,140054,MACNEAL  HOSPITAL,3249 SOUTH OAK PARK AVENUE,BERWYN,IL,60402,COOK,0.589,0,0.727,0.240,6 out of 10,6 out of 9,6 out of 10,0.65,0,0.000,0.466,3 out of 10,0 out of 9,3 out of 10,4 out of 10,0.717,0,0.603,0.446,4 out of 10,2 out of 9,4 out of 10,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,0.636,0.816,0 out of 10,0 out of 9,0 out of 10,0.52,0.014,0.434,0.562,0 out of 10,0 out of 9,0 out of 10
2024,140059,JERSEY COMMUNITY HOSPITAL,400 MAPLE SUMMIT ROAD,JERSEYVILLE,IL,62052,JERSEY,0.589,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.65,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,Not Available,Not Available,Not Available,Not Available,Not Available
2024,140062,PALOS COMMUNITY HOSPITAL,12251 SOUTH 80TH AVENUE,PALOS HEIGHTS,IL,60463,COOK,0.589,0,0.477,0.819,0 out of 10,0 out of 9,0 out of 10,0.65,0,0.238,1.110,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0.717,0,0.723,1.744,0 out of 10,0 out of 9,0 out of 10,0.738,0,0.629,0.000,10 out of 10,9 out of 9,10 out of 10,0.726,0,0.503,0.849,0 out of 10,0 out of 9,0 out of 10,0.52,0.014,0.787,0.369,3 out of 10,5 out of 9,5 out of 10
2024,140063,RUSH OAK PARK HOSPITAL,520 S MAPLE AVE,OAK PARK,IL,60304,COOK,0.589,0,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,0.65,0,0.771,0.000,10 out of 10,9 out of 9,10 out of 10,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,0.293,0.320,4 out of 10,0 out of 9,4 out of 10
2024,140064,ST MARY MEDICAL CENTER,3333 NORTH SEMINARY,GALESBURG,IL,61401,KNOX,0.589,0,Not Available,1.779,0 out of 10,Not Available,0 out of 10,0.65,0,0.649,0.000,10 out of 10,9 out of 9,10 out of 10,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,0.194,0.992,0 out of 10,0 out of 9,0 out of 10
2024,140065,ADVENTIST LA GRANGE MEMORIAL HOSPITAL,5101 S WILLOW SPRINGS RD,LA GRANGE,IL,60525,COOK,0.589,0,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,0.65,0,0.978,0.327,5 out of 10,6 out of 9,6 out of 10,10 out of 10,0.717,0,0.475,0.000,10 out of 10,9 out of 9,10 out of 10,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,0.000,0.529,3 out of 10,0 out of 9,3 out of 10,0.52,0.014,1.232,0.684,0 out of 10,4 out of 9,4 out of 10
2024,140067,SAINT FRANCIS MEDICAL CENTER,530 NE GLEN OAK AVE,PEORIA,IL,61637,PEORIA,0.589,0,1.057,2.053,0 out of 10,0 out of 9,0 out of 10,0.65,0,1.140,1.367,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0.717,0,1.447,1.373,0 out of 10,0 out of 9,0 out of 10,0.738,0,1.338,2.177,0 out of 10,0 out of 9,0 out of 10,0.726,0,0.114,0.602,2 out of 10,0 out of 9,2 out of 10,0.52,0.014,0.581,0.361,3 out of 10,3 out of 9,3 out of 10
2024,140080,PRESENCE SAINT FRANCIS HOSPITAL,355 RIDGE AVE,EVANSTON,IL,60202,COOK,0.589,0,1.687,0.627,0 out of 10,6 out of 9,6 out of 10,0.65,0,0.582,0.306,5 out of 10,4 out of 9,5 out of 10,10 out of 10,0.717,0,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,0.621,0.311,6 out of 10,4 out of 9,6 out of 10,0.52,0.014,0.691,0.382,3 out of 10,4 out of 9,4 out of 10
2024,140082,LOUIS A WEISS MEMORIAL HOSPITAL,4646 N MARINE DRIVE,CHICAGO,IL,60640,COOK,0.589,0,0.000,1.375,0 out of 10,0 out of 9,0 out of 10,0.65,0,0.412,0.148,7 out of 10,6 out of 9,7 out of 10,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,0.664,1 out of 10,Not Available,1 out of 10,0.52,0.014,0.766,0.740,0 out of 10,0 out of 9,0 out of 10
2024,140084,VISTA MEDICAL CENTER EAST,1324 NORTH SHERIDAN ROAD,WAUKEGAN,IL,60085,LAKE,0.589,0,0.323,0.332,4 out of 10,0 out of 9,4 out of 10,0.65,0,0.290,0.000,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0.717,0,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,0.608,0.000,10 out of 10,9 out of 9,10 out of 10,0.52,0.014,0.344,0.384,3 out of 10,0 out of 9,3 out of 10
2024,140088,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,5841 SOUTH MARYLAND,CHICAGO,IL,60637,COOK,0.589,0,0.812,0.750,0 out of 10,0 out of 9,0 out of 10,0.65,0,0.364,0.591,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0.717,0,0.893,1.050,0 out of 10,0 out of 9,0 out of 10,0.738,0,1.514,1.298,0 out of 10,1 out of 9,1 out of 10,0.726,0,0.937,0.863,0 out of 10,0 out of 9,0 out of 10,0.52,0.014,0.572,0.543,0 out of 10,0 out of 9,0 out of 10
2024,140089,MC DONOUGH DISTRICT HOSPITAL,525 EAST GRANT STREET,MACOMB,IL,61455,MCDONOUGH,0.589,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.65,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,0.437,0.000,10 out of 10,9 out of 9,10 out of 10
2024,140091,CARLE FOUNDATION HOSPITAL,611 WEST PARK STREET,URBANA,IL,61801,CHAMPAIGN,0.589,0,0.309,0.422,3 out of 10,0 out of 9,3 out of 10,0.65,0,0.453,0.904,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0.717,0,1.019,1.484,0 out of 10,0 out of 9,0 out of 10,0.738,0,0.398,Not Available,Not Available,Not Available,Not Available,0.726,0,0.521,1.160,0 out of 10,0 out of 9,0 out of 10,0.52,0.014,0.784,0.131,7 out of 10,8 out of 9,8 out of 10
2024,140093,OSF SACRED HEART MEDICAL CENTER,812 N LOGAN AVE,DANVILLE,IL,61832,VERMILION,0.589,0,1.447,2.727,0 out of 10,0 out of 9,0 out of 10,0.65,0,1.350,1.133,0 out of 10,1 out of 9,1 out of 10,Not Available,0.717,0,0.000,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,0.966,Not Available,Not Available,Not Available,Not Available,0.52,0.014,0.787,0.837,0 out of 10,0 out of 9,0 out of 10
2024,140095,SAINT ANTHONY HOSPITAL,2875 WEST 19TH STREET,CHICAGO,IL,60623,COOK,0.589,0,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,0.65,0,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,0.894,0.000,10 out of 10,9 out of 9,10 out of 10,0.52,0.014,0.636,0.350,4 out of 10,4 out of 9,4 out of 10
2024,140100,MIDWESTERN REGION MED CENTER  INC,2520 ELISHA AVENUE,ZION,IL,60099,LAKE,0.589,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.65,0,Not Available,Not Available,Not Available,Not Available,Not Available,10 out of 10,0.717,0,1.403,0.000,10 out of 10,9 out of 9,10 out of 10,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,0.465,0.000,10 out of 10,9 out of 9,10 out of 10
2024,140101,MORRIS HOSPITAL & HEALTHCARE CENTERS,150 W HIGH ST,MORRIS,IL,60450,GRUNDY,0.589,0,0.000,1.650,0 out of 10,0 out of 9,0 out of 10,0.65,0,0.000,0.988,0 out of 10,0 out of 9,0 out of 10,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,0.330,0.696,0 out of 10,0 out of 9,0 out of 10
2024,140103,ST BERNARD HOSPITAL,326 W 64TH ST,CHICAGO,IL,60621,COOK,0.589,0,0.791,0.000,10 out of 10,9 out of 9,10 out of 10,0.65,0,1.378,0.000,10 out of 10,9 out of 9,10 out of 10,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,1.921,0.000,10 out of 10,9 out of 9,10 out of 10,0.52,0.014,0.632,2.354,0 out of 10,0 out of 9,0 out of 10
2024,140110,OSF SAINT ELIZABETH MDL CTR,1100 E NORRIS DRIVE,OTTAWA,IL,61350,LASALLE,0.589,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.65,0,Not Available,Not Available,Not Available,Not Available,Not Available,0 out of 10,0.717,0,0.000,0.845,0 out of 10,0 out of 9,0 out of 10,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,0.648,0.706,0 out of 10,0 out of 9,0 out of 10
2024,140113,OSF HEART OF MARY MEDICAL CENTER,1400 WEST PARK AVENUE,URBANA,IL,61801,CHAMPAIGN,0.589,0,0.424,1.276,0 out of 10,0 out of 9,0 out of 10,0.65,0,1.445,3.040,0 out of 10,0 out of 9,0 out of 10,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,0.000,Not Available,Not Available,Not Available,Not Available,0.52,0.014,1.064,0.943,0 out of 10,1 out of 9,1 out of 10
2024,140116,NORTHWESTERN MEDICINE MCHENRY,4201 MEDICAL CENTER DRIVE,MCHENRY,IL,60050,MCHENRY,0.589,0,0.340,0.936,0 out of 10,0 out of 9,0 out of 10,0.65,0,0.649,1.105,0 out of 10,0 out of 9,0 out of 10,5 out of 10,0.717,0,0.175,0.365,5 out of 10,0 out of 9,5 out of 10,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,0.277,1.004,0 out of 10,0 out of 9,0 out of 10,0.52,0.014,0.286,0.266,5 out of 10,0 out of 9,5 out of 10
2024,140117,AMITA HEALTH RESURRECTION MEDICAL CENTER,7435 W TALCOTT AVENUE,CHICAGO,IL,60631,COOK,0.589,0,0.646,0.813,0 out of 10,0 out of 9,0 out of 10,0.65,0,0.636,0.412,4 out of 10,3 out of 9,4 out of 10,10 out of 10,0.717,0,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,0.000,0.160,8 out of 10,0 out of 9,8 out of 10,0.52,0.014,0.695,0.896,0 out of 10,0 out of 9,0 out of 10
2024,140119,RUSH UNIVERSITY MEDICAL CENTER,1653 WEST CONGRESS PARKWAY,CHICAGO,IL,60612,COOK,0.589,0,0.418,0.753,0 out of 10,0 out of 9,0 out of 10,0.65,0,0.450,0.387,4 out of 10,1 out of 9,4 out of 10,4 out of 10,0.717,0,0.332,0.489,3 out of 10,0 out of 9,3 out of 10,0.738,0,1.578,0.334,5 out of 10,7 out of 9,7 out of 10,0.726,0,0.645,1.281,0 out of 10,0 out of 9,0 out of 10,0.52,0.014,0.456,0.537,0 out of 10,0 out of 9,0 out of 10
2024,140120,PEKIN MEMORIAL HOSPITAL,600 SOUTH 13TH STREET,PEKIN,IL,61554,TAZEWELL,0.589,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.65,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,0.995,1.000,0 out of 10,0 out of 9,0 out of 10
2024,140122,ADVENTIST HINSDALE HOSPITAL,120 NORTH OAK ST,HINSDALE,IL,60521,DUPAGE,0.589,0,0.570,1.363,0 out of 10,0 out of 9,0 out of 10,0.65,0,0.811,0.380,4 out of 10,5 out of 9,5 out of 10,6 out of 10,0.717,0,0.426,0.000,10 out of 10,9 out of 9,10 out of 10,0.738,0,0.000,2.585,0 out of 10,0 out of 9,0 out of 10,0.726,0,0.734,0.873,0 out of 10,0 out of 9,0 out of 10,0.52,0.014,0.603,0.249,5 out of 10,6 out of 9,6 out of 10
